Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
AdaBoost,0.9824561403508771,0.9829346092503988,0.9824561403508771,0.9823668849543213,0.994304906542056
Logistic Regression,0.9707602339181286,0.971110588194281,0.9707602339181286,0.9706114749238687,0.9976635514018691
SVM,0.9649122807017544,0.9667753454432543,0.9649122807017544,0.9645279368316471,0.9944509345794392
Random Forest,0.9649122807017544,0.9667753454432543,0.9649122807017544,0.9645279368316471,0.9967873831775702
Gradient Boosting,0.9649122807017544,0.9667753454432543,0.9649122807017544,0.9645279368316471,0.9970794392523364
KNN,0.9532163742690059,0.9547849891231996,0.9532163742690059,0.9527039157755293,0.9884637850467288
Naive Bayes,0.935672514619883,0.936274301573142,0.935672514619883,0.9350993774297272,0.9932827102803738
Decision Tree,0.9005847953216374,0.9001664618575748,0.9005847953216374,0.9000790147411539,0.8891647196261683
